epoch,train_accuracy
1,0.832811939829389
2,0.8329199836951985
3,0.8486207218312453
4,0.8554569518861022
5,0.8625485583510542
6,0.8717617534537204
7,0.8804789289906247
8,0.8896823019236719
9,0.9000446908717666
10,0.9079810039239568
11,0.9179799725961467
12,0.9291183129441463
13,0.9389257493087648
14,0.9475839918279548
15,0.9570918520191926
16,0.9663688912243825
17,0.9747226464853822
18,0.979373443800001
