epoch,train_loss
1,30.6668062210083
2,29.555246829986572
3,28.336945056915283
4,26.99635124206543
5,25.271955013275146
6,23.17870855331421
7,20.142595291137695
8,15.656032800674438
9,12.258901596069336
10,13.08962345123291
11,11.957929611206055
12,11.335331916809082
13,11.416985511779785
14,11.258531093597412
15,11.015490293502808
16,10.950080156326294
17,10.82691764831543
18,10.758190870285034
19,10.654860973358154
20,10.648155450820923
21,10.620498180389404
22,10.535436630249023
23,10.45821213722229
24,10.380206823348999
25,10.370855331420898
26,10.448784112930298
27,10.362292051315308
28,10.284236669540405
29,10.260657787322998
30,10.165886402130127
31,10.184966087341309
32,10.167274951934814
33,10.145024299621582
34,10.114465475082397
35,10.088326215744019
36,10.061779737472534
37,9.964655637741089
38,9.993868112564087
39,9.894646883010864
40,9.92944860458374
41,9.841705560684204
42,9.768455028533936
43,9.746269702911377
44,9.750214576721191
45,9.665651321411133
46,9.664896011352539
47,9.624308109283447
48,9.6444091796875
49,9.57783555984497
50,9.520652055740356
51,9.50269103050232
52,9.449386835098267
53,9.394031524658203
54,9.346659421920776
55,9.291231632232666
56,9.24176812171936
57,9.185966730117798
58,9.152853012084961
59,9.084353923797607
60,9.059189081192017
61,9.03059720993042
62,8.98295545578003
63,8.911544561386108
64,8.925864458084106
65,8.872703313827515
66,8.78874158859253
67,8.794432878494263
68,8.7636137008667
69,8.688106536865234
70,8.656111240386963
71,8.627558469772339
72,8.564273118972778
73,8.557273864746094
74,8.477800607681274
75,8.458230257034302
76,8.434215068817139
77,8.38524055480957
78,8.333919048309326
79,8.291255474090576
80,8.229059934616089
81,8.187248945236206
82,8.181082487106323
83,8.156193494796753
84,8.119454145431519
85,8.095460891723633
86,8.08556056022644
87,8.010811686515808
88,7.963800311088562
89,7.934741139411926
90,7.932983040809631
91,7.8936145305633545
92,7.844119429588318
93,7.83626127243042
94,7.733339428901672
95,7.727656126022339
96,7.694991588592529
97,7.691142559051514
98,7.626895189285278
99,7.5780051946640015
100,7.555076360702515
101,7.56296980381012
102,7.5268107652664185
103,7.503013253211975
104,7.4434791803359985
105,7.450671315193176
106,7.418212056159973
107,7.344262957572937
108,7.3011064529418945
109,7.296544790267944
110,7.281774520874023
111,7.240562677383423
112,7.201134204864502
113,7.148689150810242
114,7.124176383018494
115,7.080572247505188
116,7.02997612953186
117,7.038118362426758
118,6.973680138587952
119,6.971939325332642
120,6.922970175743103
121,6.897731423377991
122,6.869488477706909
123,6.863869309425354
124,6.805612802505493
125,6.757364511489868
126,6.768474578857422
127,6.71097719669342
128,6.684713363647461
129,6.642312049865723
130,6.657882332801819
131,6.591986775398254
132,6.553900837898254
133,6.569819450378418
134,6.523309946060181
135,6.55882453918457
136,6.465176820755005
137,6.426953077316284
138,6.392482876777649
139,6.40234637260437
140,6.377584338188171
141,6.284858465194702
142,6.289625406265259
143,6.2634090185165405
144,6.23630964756012
145,6.190422892570496
146,6.1946539878845215
147,6.1508530378341675
148,6.176580786705017
149,6.094343662261963
150,6.0707080364227295
151,6.065181612968445
152,6.01987361907959
153,5.9870264530181885
154,5.954006314277649
155,5.925525188446045
156,5.906374096870422
157,5.888289213180542
158,5.871926784515381
159,5.823770880699158
160,5.826538801193237
161,5.813892722129822
162,5.756349563598633
163,5.712874054908752
164,5.676744103431702
165,5.704926490783691
166,5.656332492828369
167,5.610534191131592
168,5.580724716186523
169,5.563429117202759
170,5.559300780296326
171,5.490249991416931
172,5.519850373268127
173,5.462481617927551
