epoch,train_loss,val_loss
1,33.02543640136719,
2,32.3367714881897,
3,31.881401538848877,
4,31.2855224609375,
5,30.6830096244812,
6,30.022406578063965,
7,29.261733055114746,
8,28.453463077545166,
9,27.548707485198975,
10,26.468384742736816,
11,25.109899044036865,
12,23.215704441070557,
13,20.85885715484619,
14,17.588160514831543,
15,13.678744554519653,
16,12.359219789505005,
17,12.985119819641113,
18,12.201325416564941,
19,11.640886068344116,
20,11.654885530471802,
21,11.533797025680542,
22,11.340898036956787,
23,11.25574254989624,
24,11.16474962234497,
25,11.101773262023926,
26,11.055673122406006,
27,10.971180200576782,
28,10.95093560218811,
29,10.933069944381714,
30,10.85476541519165,
31,10.883371591567993,
32,10.790658473968506,
33,10.738034725189209,
34,10.763118982315063,
35,10.713772296905518,
36,10.654698848724365,
37,10.693775653839111,
38,10.632133483886719,
39,10.615449666976929,
40,10.566129922866821,
41,10.609512329101562,
42,10.568323850631714,
43,10.509641170501709,
44,10.527930498123169,
45,10.501341342926025,
46,10.491444826126099,
47,10.459513664245605,
48,10.41689133644104,
49,10.387683868408203,
50,10.358772277832031,
51,10.317606449127197,
52,10.365211486816406,
53,10.342487812042236,
54,10.281896829605103,
55,10.297181129455566,
56,10.279032230377197,
57,10.202332496643066,
58,10.233917951583862,
59,10.212327718734741,
60,10.257415771484375,
61,10.188457489013672,
62,10.182697057723999,
63,10.142721891403198,
64,10.104923009872437,
65,10.169642210006714,
66,10.100925922393799,
67,10.055371522903442,
68,10.040878772735596,
69,10.004218101501465,
70,10.002947807312012,
71,10.008340835571289,
72,9.973286628723145,
73,10.007900714874268,
74,9.957980394363403,
75,9.959130048751831,
76,9.940237522125244,
77,9.932193517684937,
78,9.891093730926514,
79,9.878344774246216,
80,9.863380193710327,
81,9.884319543838501,
82,9.85174560546875,
83,9.792509317398071,
84,9.823234796524048,
85,9.791618347167969,
86,9.795417308807373,
87,9.771121978759766,
88,9.74442172050476,
89,9.729102373123169,
90,9.735368728637695,
91,9.646604776382446,
92,9.634677648544312,
93,9.642441034317017,
94,9.644207954406738,
95,9.59934949874878,
96,9.599020719528198,
97,9.604464292526245,
98,9.561947345733643,
99,9.535415887832642,
100,9.487383604049683,
101,9.486894845962524,
102,9.488613843917847,
103,9.425012111663818,
104,9.385334253311157,
105,9.408345460891724,
106,9.384454250335693,
107,9.354591369628906,
108,9.393981695175171,
109,9.298348188400269,
110,9.27733039855957,
111,9.244209051132202,
112,9.24474835395813,
113,9.155593872070312,
114,9.166900634765625,
115,9.20656156539917,
116,9.102329015731812,
117,9.0993492603302,
118,9.098843097686768,
119,9.086729288101196,
120,9.11522388458252,
121,9.034912824630737,
122,9.001927852630615,
123,9.014209985733032,
124,8.974139928817749,
125,8.968812465667725,
126,8.915123701095581,
127,8.92708945274353,
128,8.879825353622437,
129,8.863041639328003,
130,8.827101469039917,
131,8.825528621673584,
132,8.779153108596802,
133,8.711968421936035,
134,8.728484630584717,
135,8.755551815032959,
136,8.693811178207397,
137,8.682400465011597,
138,8.631483316421509,
139,8.602589130401611,
140,8.560864686965942,
141,8.56534194946289,
142,8.557822227478027,
143,8.522993564605713,
144,8.511399745941162,
145,8.470436573028564,
146,8.46113896369934,
147,8.419529438018799,
148,8.42144775390625,
149,8.424168825149536,
150,8.385533809661865,
151,8.391860961914062,
152,8.342535734176636,
153,8.34593915939331,
154,8.297012090682983,
155,8.307293891906738,
156,8.25866985321045,
157,8.258087158203125,
158,8.242969274520874,
159,8.209062576293945,
160,8.191588997840881,
161,8.170047998428345,
162,8.136899948120117,
163,8.092429637908936,
164,8.126067757606506,
165,8.093960165977478,
166,8.071336030960083,
167,8.06292474269867,
168,8.010625958442688,
169,7.960361480712891,
170,7.979358673095703,
171,7.970995664596558,
172,7.949455738067627,
173,7.936924338340759,
174,7.9428651332855225,
175,7.8947495222091675,
176,7.9336161613464355,
177,7.875888228416443,
178,7.83918023109436,
179,7.786575794219971,
180,7.785489320755005,
181,7.7866480350494385,
182,7.783014535903931,
183,7.719707369804382,
184,7.703009843826294,
185,7.693151593208313,
186,7.665308356285095,
187,7.633698582649231,
188,7.627541899681091,
189,7.624233722686768,
190,7.5930973291397095,
191,7.607089877128601,
192,7.566875100135803,
193,7.539454817771912,
194,7.535415410995483,
195,7.569351077079773,
196,7.520334959030151,
197,7.468272566795349,
198,7.451250672340393,
199,7.475589990615845,
200,7.40174412727356,
201,7.400569915771484,
202,7.408402919769287,
203,7.362835645675659,
