epoch,train_accuracy,val_accuracy
1,0.832811939829389,0.8325026284023208
2,0.8385284425476743,0.8369027685837779
3,0.8498976038817214,0.8474358475137261
4,0.8561739702682926,0.850609399945485
5,0.8629954670687208,0.8549121918928391
6,0.8715211102980538,0.8589034694910634
7,0.8819326100942437,0.8620770219228223
8,0.8911458051969099,0.8643939098944745
9,0.9018028592335761,0.8654452708227873
10,0.9119737158740995,0.8651726957672988
11,0.9221691279386703,0.863673532962112
12,0.9315787664337175,0.8620770219228223
13,0.9413518252046694,0.8614345235777423
14,0.9531433398323356,0.8575211245668004
15,0.961354673633859,0.8562555975234609
16,0.9705334911428586,0.8554962812974573
17,0.9691878539050491,0.8528484093298547
18,0.9841568404044769,0.8528678789766754
